cedula_persona;codigo_municipio
1000;5697
1001;8001
1002;8001
1003;8001
1004;8001
1005;8001
1006;8001
1007;8001
1008;8001
1009;8001
1010;8001
1011;8001
1012;8001
1013;8001
1014;8001
1015;8001
1016;8001
1017;8001
1018;8001
1019;8001
1020;8001
1021;8001
1022;8001
1023;8001
1024;8001
1025;8001
1026;8001
1027;8001
1028;8001
1029;8001
1030;8001
1031;8001
1032;8001
1033;8001
1034;8001
1035;8001
1036;8001
1037;8001
1038;8001
1039;8001
1040;8001
1041;8001
1042;8001
1043;8001
1044;8001
1045;8001
1046;8001
1047;8001
1048;8001
1049;8001
1050;8001
1051;8001
1052;8001
1053;8001
1054;8001
1055;8001
1056;8001
1057;8001
1058;8001
1059;8001
1060;8001
1061;8001
1062;8001
1063;8001
1064;8001
1065;8001
1066;8001
1067;8001
1068;8001
1069;8001
1070;8001
1071;8001
1072;8001
1073;8001
1074;8001
1075;8001
1076;8001
1077;8001
1078;8001
1079;8001
1080;8001
1081;8001
1082;8001
1083;8001
1084;76001
1085;76020
1086;76036
1087;76100
1088;76109
1089;76109
1090;76111
1091;76111
1092;76111
1093;76111
1094;76111
1095;76111
1096;76111
1097;76111
1098;5001
1099;5001
1100;5043
1101;5088
1102;5088
1103;5088
1104;5088
1105;5129
1106;5145
1107;5148
1108;5154
1109;5154
1110;5234
1111;5234
1112;5266
1113;5308
1114;5360
1115;5360
1116;5360
1117;5360
1118;5440
1119;5579
1120;5615
1121;5615
1122;5670
1123;5674
1124;5001
1125;5001
1126;5001
1127;5001
1128;5001
1129;5001
1130;5001
1131;5001
1132;5001
1133;5001
1134;5001
1135;5001
1136;5001
1137;5001
1138;5001
1139;5001
1140;5001
1141;5001
1142;5001
1143;5001
1144;5001
1145;5001
1146;52378
1147;52378
1148;52378
1149;52378
1150;54001
1151;54001
1152;54874
1153;66001
1154;66001
1155;66170
1156;68001
1157;68001
1158;68081
1159;68081
1160;68081
1161;68081
1162;68081
1163;70771
1164;73001
1165;73001
1166;76001
1167;76001
1168;76111
1169;76130
1170;76130
1171;76130
1172;76147
1173;76233
1174;76318
1175;76364
1176;76364
1177;76364
1178;76364
1179;76364
1180;76364
1181;76364
1182;76364
1183;76520
1184;76520
1185;76520
1186;76520
1187;76520
1188;76520
1189;76520
1190;76520
1191;76520
1192;76520
1193;76520
1194;76520
1195;76563
1196;76563
1197;76563
1198;76563
1199;76563
1200;76563
1201;76563
1202;76563
1203;76834
1204;76834
1205;76834
1206;76834
1207;76834
1208;76892
1209;76892
1210;76892
1211;76892
1212;86001
1213;99001
1214;99001
1215;8001
1216;8001
1217;8001
1218;8296
1219;8758
1220;8758
1221;8758
1222;8758
1223;11001
1224;11001
1225;11001
1226;11001
1227;11001
1228;11001
1229;13001
1230;13001
1231;15001
1232;15001
1233;15759
1234;15759
1235;15810
1236;17001
1237;17001
1238;17001
1239;17001
1240;17001
1241;17001
1242;17001
1243;17001
1244;17001
1245;17001
1246;17001
1247;17001
1248;17001
1249;17001
1250;17001
1251;17001
1252;17001
1253;17001
1254;17001
1255;17001
1256;17486
1257;17873
1258;17873
1259;18001
1260;18001
1261;18256
1262;19001
1263;19001
1264;19001
1265;20001
1266;20001
1267;20001
1268;20001
1269;20001
1270;20001
1271;20013
1272;20013
1273;20400
1274;23001
1275;25286
1276;25740
1277;25899
1278;41001
1279;41885
1280;47001
1281;47001
1282;47001
1283;47001
1284;47001
1285;47001
1286;47001
1287;47053
1288;47675
1289;50001
1290;50001
1291;50001
1292;50001
1293;50001
1294;50006
1295;50006
1296;52227
1297;52227
1298;52317
1299;52356
